# Chunk-averaged data for fix 14 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
0 49 1728
  8 4.62586 7 0.0177946
  9 5.49586 49 0.124562
  10 6.36586 23 0.0584681
  11 7.23586 33 0.083889
  12 8.10586 39 0.0991415
  13 8.97586 13 0.0330472
  14 9.84586 59 0.149983
  15 10.7159 3 0.00762627
  16 11.5859 66 0.167778
  17 12.4559 4 0.0101684
  18 13.3259 60 0.152525
  19 14.1959 11 0.027963
  20 15.0659 35 0.0889731
  21 15.9359 37 0.0940573
  22 16.8059 16 0.0406734
  23 17.6759 56 0.142357
  24 18.5459 4 0.0101684
  25 19.4159 68 0.172862
  26 20.2859 2 0.00508418
  27 21.1559 60 0.152525
  28 22.0259 10 0.0254209
  29 22.8959 44 0.111852
  30 23.7659 28 0.0711785
  31 24.6359 25 0.0635522
  32 25.5059 47 0.119478
  33 26.3759 7 0.0177946
  34 27.2459 64 0.162694
  35 28.1159 1 0.00254209
  36 28.9859 69 0.175404
  37 29.8559 3 0.00762627
  38 30.7259 58 0.147441
  39 31.5959 14 0.0355893
  40 32.4659 35 0.0889731
  41 33.3359 37 0.0940573
  42 34.2059 16 0.0406734
  43 35.0759 56 0.142357
  44 35.9459 6 0.0152525
  45 36.8159 66 0.167778
  46 37.6859 0 0
  47 38.5559 69 0.175404
  48 39.4259 4 0.0101684
  49 40.2959 58 0.147441
  50 41.1659 13 0.0330472
  51 42.0359 39 0.0991415
  52 42.9059 33 0.083889
  53 43.7759 13 0.0330472
  54 44.6459 30 0.0762627
